Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
MY,*,*,1.7,32.59230769
MY,*,*,1.8,34.36923077
MY,*,*,1.9,36.14615385
MY,*,*,2,37.92307692
MY,*,*,2.1,39.7
MY,*,*,2.2,41.47692308
MY,*,*,2.3,43.25384615
MY,*,*,2.4,45.03076923
MY,*,*,2.5,46.80769231
MY,*,*,2.6,48.58461538
MY,*,*,2.7,50.36153846
MY,*,*,2.8,52.13846154
MY,*,*,2.9,53.91538462
MY,*,*,3,55.69230769
MY,*,*,3.1,57.46923077
MY,*,*,3.2,59.24615385
MY,*,*,3.3,61.02307692
MY,*,*,3.4,62.8
MY,*,*,3.5,64.57692308
MY,*,*,3.6,66.35384615
MY,*,*,3.7,68.13076923
MY,*,*,3.8,69.90769231
MY,*,*,3.9,71.68461538
MY,*,*,4,73.46153846
AT,*,*,0.1,4.161538462
AT,*,*,0.2,5.938461538
AT,*,*,0.4,9.492307692
AT,*,*,0.5,11.26923077
AT,*,*,0.6,13.04615385
AT,*,*,0.8,16.6
AT,*,*,0.9,18.37692308
AT,*,*,1,20.15384615
AT,*,*,1.1,21.93076923
AT,*,*,1.2,23.70769231
AT,*,*,1.3,25.48461538
AT,*,*,1.4,27.26153846
AT,*,*,1.5,29.03846154
AT,*,*,1.6,30.81538462
AT,*,*,1.7,32.59230769
AT,*,*,1.8,34.36923077
AT,*,*,1.9,36.14615385
AT,*,*,2,37.92307692
AT,*,*,2.1,39.7
AT,*,*,2.2,41.47692308
AT,*,*,2.3,43.25384615
AT,*,*,2.4,45.03076923
AT,*,*,2.5,46.80769231
AT,*,*,2.6,48.58461538
AT,*,*,2.7,50.36153846
AT,*,*,2.8,52.13846154
AT,*,*,2.9,53.91538462
AT,*,*,3,55.69230769
AT,*,*,3.1,57.46923077
AT,*,*,3.2,59.24615385
AT,*,*,3.3,61.02307692
AT,*,*,3.4,62.8
AT,*,*,3.5,64.57692308
AT,*,*,3.6,66.35384615
AT,*,*,3.7,68.13076923
AT,*,*,3.8,69.90769231
AT,*,*,3.9,71.68461538
AT,*,*,4,73.46153846
BE,*,*,0.1,4.161538462
BE,*,*,0.2,5.938461538
BE,*,*,0.4,9.492307692
BE,*,*,0.5,11.26923077
BE,*,*,0.6,13.04615385
BE,*,*,0.8,16.6
BE,*,*,0.9,18.37692308
BE,*,*,1,20.15384615
BE,*,*,1.1,21.93076923
BE,*,*,1.2,23.70769231
BE,*,*,1.3,25.48461538
BE,*,*,1.4,27.26153846
BE,*,*,1.5,29.03846154
BE,*,*,1.6,30.81538462
BE,*,*,1.7,32.59230769
BE,*,*,1.8,34.36923077
BE,*,*,1.9,36.14615385
BE,*,*,2,37.92307692
BE,*,*,2.1,39.7
BE,*,*,2.2,41.47692308
BE,*,*,2.3,43.25384615
BE,*,*,2.4,45.03076923
