Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
*,*,*,17.6,340.9878543
*,*,*,17.7,342.9068826
*,*,*,17.8,344.8259109
*,*,*,17.9,346.7449393
*,*,*,18,348.6639676
*,*,*,18.1,350.582996
*,*,*,18.2,352.5020243
*,*,*,18.3,354.4210526
*,*,*,18.4,356.340081
*,*,*,18.5,358.2591093
*,*,*,18.6,360.1781377
*,*,*,18.7,362.097166
*,*,*,18.8,364.0161943
*,*,*,18.9,365.9352227
*,*,*,19,367.854251
*,*,*,19.1,369.7732794
*,*,*,19.2,371.6923077
*,*,*,19.3,373.611336
*,*,*,19.4,375.5303644
*,*,*,19.5,377.4493927
*,*,*,19.6,379.3684211
*,*,*,19.7,381.2874494
*,*,*,19.8,383.2064777
*,*,*,19.9,385.1255061
*,*,*,20,387.0445344
*,*,*,20.1,388.9635628
*,*,*,20.2,390.8825911
*,*,*,20.3,392.8016194
*,*,*,20.4,394.7206478
*,*,*,20.5,396.6396761
*,*,*,20.6,398.5587045
*,*,*,20.7,400.4777328
*,*,*,20.8,402.3967611
*,*,*,20.9,404.3157895
*,*,*,21,406.2348178
*,*,*,21.1,408.1538462
*,*,*,21.2,410.0728745
*,*,*,21.3,411.9919028
*,*,*,21.4,413.9109312
*,*,*,21.5,415.8299595
*,*,*,21.6,417.7489879
*,*,*,21.7,419.6680162
*,*,*,21.8,421.5870445
*,*,*,21.9,423.5060729
*,*,*,22,425.4251012
*,*,*,22.1,427.3441296
*,*,*,22.2,429.2631579
*,*,*,22.3,431.1821862
*,*,*,22.4,433.1012146
*,*,*,22.5,435.0202429
*,*,*,22.6,436.9392713
*,*,*,22.7,438.8582996
*,*,*,22.8,440.7773279
*,*,*,22.9,442.6963563
*,*,*,23,444.6153846
*,*,*,23.1,446.534413
*,*,*,23.2,448.4534413
*,*,*,23.3,450.3724696
*,*,*,23.4,452.291498
*,*,*,23.5,454.2105263
*,*,*,23.6,456.1295547
*,*,*,23.7,458.048583
*,*,*,23.8,459.9676113
*,*,*,23.9,461.8866397
*,*,*,24,463.805668
*,*,*,24.1,465.7246964
*,*,*,24.2,467.6437247
*,*,*,24.3,469.562753
*,*,*,24.4,471.4817814
AL,*,*,0.1,4.553846154
AL,*,*,0.2,6.723076923
AL,*,*,0.3,8.892307692
AL,*,*,0.4,11.06153846
AL,*,*,0.5,13.23076923
AL,*,*,0.6,15.4
AL,*,*,0.7,17.56923077
AL,*,*,0.8,19.73846154
AL,*,*,0.9,21.90769231
AL,*,*,1,24.07692308
AL,*,*,1.1,26.24615385
AL,*,*,1.2,28.41538462
AL,*,*,1.3,30.58461538
AL,*,*,1.4,32.75384615
AL,*,*,1.5,34.92307692
AL,*,*,1.6,37.09230769
AL,*,*,1.7,39.26153846
AL,*,*,1.8,41.43076923
AL,*,*,1.9,43.6
AL,*,*,2,45.76923077
AL,*,*,2.1,47.93846154
AL,*,*,2.2,50.10769231
AL,*,*,2.3,52.27692308
AL,*,*,2.4,54.44615385
AL,*,*,2.5,56.61538462
AL,*,*,2.6,58.78461538
AL,*,*,2.7,60.95384615
AL,*,*,2.8,63.12307692
AL,*,*,2.9,65.29230769
AL,*,*,3,67.46153846
AL,*,*,3.1,69.63076923
AL,*,*,3.2,71.8
AL,*,*,3.3,73.96923077
AL,*,*,3.4,76.13846154
AL,*,*,3.5,78.30769231
AL,*,*,3.6,80.47692308
AL,*,*,3.7,82.64615385
AL,*,*,3.8,84.81538462
AL,*,*,3.9,86.98461538
AL,*,*,4,89.15384615
AL,*,*,4.1,91.32307692
AL,*,*,4.2,93.49230769
AL,*,*,4.3,95.66153846
AL,*,*,4.4,97.83076923
AL,*,*,4.5,100
AL,*,*,4.6,102.1692308
AL,*,*,4.7,104.3384615
AL,*,*,4.8,106.5076923
AL,*,*,4.9,108.6769231
AL,*,*,5,110.8461538
AL,*,*,0.1,4.553846154
AL,*,*,0.2,6.723076923
AL,*,*,0.3,8.892307692
